Company,Ticker Symbol,Stock Exchange,Sector,Sub-Industry,HQ City,HQ State,Employees,Founded,MarketCap ($Billions),Price,Price-26-week,Price-52-week,High-52-week,Low-52-week,Volume (thousands of shares)
Interpublic Group,IPG,NYSE,Communication Services,Advertising,New York City,New York,"55,600",1961,12.07,30.71,34.51,32.77,39.98,30.11,"3,254"
Signature Bank,SBNY,Nasdaq,Financials,Regional Banks,New York City,New York,"1,854",2001,11.98,188.99,336.14,237.94,374.76,179.05,"1,040"
Nordson,NDSN,Nasdaq,Industrials,Industrial Machinery,Westlake,Ohio,"7,100",1935,11.89,205.89,267.99,216.83,272.28,198.28,328
Charles River,CRL,NYSE,Health Care,Life Sciences Tools & Services,Wilmington,Massachusetts,"18,600",1947,11.82,231.77,369.98,329.52,460.21,217.20,504
Hasbro,HAS,Nasdaq,Consumer Discretionary,Leisure Products,Pawtucket,Rhode Island,"6,640",1923,11.81,86.76,99.50,94.04,105.73,80.72,"1,318"
Qorvo,QRVO,Nasdaq,Information Technology,Semiconductors,Greensboro,North Carolina,"8,400",2015,11.78,104.83,152.59,180.62,201.46,98.23,"1,727"
Henry Schein,HSIC,Nasdaq,Health Care,Health Care Distributors,Melville,New York,"21,600",1932,11.52,82.87,76.90,76.26,92.68,70.25,687
Lumen,LUMN,NYSE,Communication Services,Alternative Carriers,Monroe,Louisiana,"35,000",1983,11.43,11.36,13.82,14.06,15.45,9.31,"11,408"
Cboe,CBOE,CBOE,Financials,Financial Exchanges & Data,Chicago,Illinois,"1,196",1973,11.36,105.56,128.99,109.77,139.00,103.82,565
WestRock,WRK,NYSE,Materials,Paper Packaging,Atlanta,Georgia,"49,900",2015,11.25,44.89,47.99,57.50,59.77,40.78,"2,325"
Snap-on,SNA,NYSE,Industrials,Industrial Machinery,Kenosha,Wisconsin,"12,800",1920,11.21,215.03,217.11,251.71,257.98,197.75,291
Molson Coors,TAP,NYSE,Consumer Staples,Brewers,Chicago,Illinois,"16,300",1786,11.12,50.78,47.73,58.06,61.48,42.46,"1,203"
Advance Auto Parts,AAP,NYSE,Consumer Discretionary,Automotive Retail,Raleigh,North Carolina,"41,000",1932,11.11,196.07,235.77,188.00,244.55,176.72,"1,585"
Dish,DISH,Nasdaq,Communication Services,Cable & Satellite,Meridian,Colorado,"14,500",1980,11.01,20.51,33.13,43.35,46.31,17.04,"3,163"
Regency Centers,REG,Nasdaq,Real Estate,Retail REITs,Jacksonville,Florida,432,1963,10.90,64.21,73.86,63.31,78.78,61.48,879
NRG Energy,NRG,NYSE,Utilities,Independent Power Producers & Energy Traders,Houston,Texas,"6,635",1992,10.85,46.21,36.87,32.75,46.86,31.94,"4,061"
Caesars Entertainment,CZR,Nasdaq,Consumer Discretionary,Casinos & Gaming,Reno,Nevada,"23,000",1973,10.74,48.63,93.94,107.06,119.81,46.08,"5,010"
Abiomed,ABMD,Nasdaq,Health Care,Health Care Equipment,Danvers,Massachusetts,"1,725",1981,10.73,238.65,328.18,283.88,379.30,226.46,415
Everest,RE,NYSE,Financials,Reinsurance,Hamilton,Bermuda,"1,947",1973,10.67,276.34,279.49,254.44,308.20,234.87,272
American Airlines Group,AAL,Nasdaq,Industrials,Airlines,Fort Worth,Texas,"123,400",1934,10.56,16.75,19.47,23.21,26.04,12.44,"24,684"
MarketAxess,MKTX,Nasdaq,Financials,Financial Exchanges & Data,New York City,New York,676,2000,10.54,267.94,362.75,458.52,498.97,249.01,503
News Corp (Class B),NWS,Nasdaq,Communication Services,Publishing,New York City,New York,"24,000",2013,10.37,17.78,22.37,25.47,26.21,16.57,641
News Corp (Class A),NWSA,Nasdaq,Communication Services,Publishing,New York City,New York,"24,000",2013,10.37,17.50,22.15,26.64,27.51,16.54,"3,396"
PulteGroup,PHM,NYSE,Consumer Discretionary,Homebuilding,Atlanta,Georgia,"6,182",1956,10.16,41.67,52.90,56.53,58.83,39.61,"2,697"
Etsy,ETSY,Nasdaq,Consumer Discretionary,Internet & Direct Marketing Retail,New York City,New York,"2,576",2005,9.96,79.24,279.53,167.05,307.75,74.66,"4,663"
Robert Half,RHI,NYSE,Industrials,Human Resource & Employment Services,Menlo Park,California,"14,600",1948,9.79,88.92,117.55,87.22,125.77,83.46,758
Whirlpool,WHR,NYSE,Consumer Discretionary,Household Appliances,Benton Harbor,Michigan,"69,000",1911,9.77,171.82,231.27,236.50,245.44,164.52,806
Allegion,ALLE,NYSE,Industrials,Building Products,New York City,New York,"11,000",1908,9.58,108.81,132.04,139.24,148.70,105.06,498
Comerica,CMA,NYSE,Financials,Diversified Banks,Dallas,Texas,"7,223",1849,9.56,72.80,90.57,75.83,102.09,63.07,"1,607"
Assurant,AIZ,NYSE,Financials,Multi-line Insurance,New York City,New York,"15,600",1892,9.53,180.44,164.70,157.34,194.12,144.18,540
F5,FFIV,Nasdaq,Information Technology,Communications Equipment,Seattle,Washington,"6,461",1996,9.45,155.31,230.95,185.06,249.00,151.66,411
Juniper Networks,JNPR,NYSE,Information Technology,Communications Equipment,Sunnyvale,California,"10,191",1996,9.33,28.80,32.33,26.58,38.14,25.48,"3,339"
Bath & Body Works,BBWI,NYSE,Consumer Discretionary,Specialty Stores,Columbus,Ohio,"8,800",1963,9.23,40.03,75.53,53.80,82.00,36.50,"5,677"
Globe Life,GL,NYSE,Financials,Life & Health Insurance,McKinney,Texas,"3,222",1900,9.22,93.88,94.63,103.69,108.61,85.25,403
Nielsen,NLSN,NYSE,Industrials,Research & Consulting Services,New York City,New York,"14,000",1923,9.17,25.44,21.40,26.96,27.79,16.02,"3,074"
BorgWarner,BWA,NYSE,Consumer Discretionary,Auto Parts & Equipment,Auburn Hills,Michigan,"49,300",1880,9.14,38.86,47.74,49.80,55.55,34.85,"1,613"
Lamb Weston,LW,NYSE,Consumer Staples,Packaged Foods & Meats,Eagle,Idaho,"7,800",2016,9.12,62.42,57.11,80.25,85.72,49.71,907
